GeographyCode,KS103EW0002
E09000025,107512
E09000026,74719
E09000027,55070
E09000028,128471
E09000029,52840
E09000030,112740
E09000031,88122
E09000032,138767
E09000033,95694
W06000001,17245
W06000002,36781
W06000003,27729
W06000004,23413
W06000005,37581
W06000006,35546
W06000008,25047
W06000009,28538
W06000010,44478
W06000011,72496
W06000012,35960
W06000013,35156
W06000014,31616
W06000015,127380
W06000016,64493
W06000018,46484
W06000019,19611
W06000020,22994
W06000021,19767
W06000022,40082
W06000023,31079
W06000024,16871
E02000001,3434
E02000002,1858
E02000003,2749
E02000004,1794
E02000005,2350
E02000007,2667
E02000008,3287
E02000009,2637
E02000010,2482
E02000011,1717
E02000012,2628
E02000013,2333
E02000014,2637
E02000015,2396
E02000016,2414
E02000017,2593
E02000018,2603
E02000019,2268
E02000020,2591
E02000021,2214
E02000022,2426
E02000023,1900
E02000024,2722
E02000025,2487
E02000026,1598
E02000027,2724
E02000028,1740
E02000029,2535
E02000030,2062
E02000031,1823
E02000032,1801
E02000033,2563
E02000034,2385
E02000035,2391
E02000036,2682
E02000037,2092
E02000038,3407
E02000039,1589
E02000040,1917
E02000041,2262
E02000042,3462
E02000043,1753
E02000044,2349
E02000045,3645
E02000046,2609
E02000047,3323
E02000048,2541
E02000049,2541
E02000050,3331
E02000051,2524
E02000052,3802
E02000053,3248
E02000054,2376
E02000055,3953
E02000056,2143
E02000057,2025
E02000058,2788
E02000059,3324
E02000060,2859
E02000061,2802
E02000062,2273
E02000063,2291
E02000064,2322
E02000065,2077
E02000066,2920
E02000067,2755
E02000068,2299
E02000069,1724
E02000070,1940
E02000071,2046
E02000072,3472
E02000073,2442
E02000074,2241
E02000075,1849
E02000077,1982
E02000078,1888
E02000079,2148
E02000080,2510
E02000081,1895
E02000082,2331
E02000083,2670
E02000084,2705
E02000085,2160
E02000086,1884
E02000087,1738
E02000088,1930
E02000089,1767
E02000090,2791
E02000091,2676
E02000092,1850
E02000093,2888
E02000094,2406
E02000095,2689
E02000096,1864
E02000097,2367
E02000098,2230
E02000099,2355
E02000100,2843
E02000101,2826
E02000102,2217
E02000103,2664
E02000104,2019
E02000105,2637
E02000106,3284
E02000107,4580
E02000108,1810
E02000109,3056
E02000110,3452
E02000111,2566
E02000112,2948
E02000113,3165
E02000114,4042
E02000115,4127
E02000116,3081
E02000117,4105
E02000118,2699
E02000119,2452
E02000120,4566
E02000121,2456
E02000122,2949
E02000123,5448
E02000124,4476
E02000125,4381
E02000126,3037
E02000127,2589
E02000128,1914
E02000130,2701
E02000131,4022
E02000132,3453
E02000133,2041
E02000134,3789
E02000135,3922
E02000136,1409
E02000137,2319
E02000138,2356
E02000139,2330
E02000140,2395
E02000141,2371
E02000142,2041
E02000144,2612
E02000145,2342
E02000146,2288
E02000147,1657
E02000148,1362
E02000149,2135
E02000150,1951
E02000151,1420
E02000152,1867
E02000153,1651
E02000154,1993
E02000155,1638
E02000156,2637
E02000157,1605
E02000158,1701
E02000159,1425
E02000160,1799
E02000161,1770
E02000162,1494
E02000163,1555
E02000165,1768
E02000166,3030
E02000167,2500
E02000168,3632
E02000169,2416
E02000170,3678
E02000171,3218
E02000172,4523
E02000173,3007
E02000174,4440
E02000175,4557
E02000176,2693
E02000177,3935
E02000178,4578
E02000179,2316
E02000180,4201
E02000181,3605
E02000182,2301
E02000183,3236
E02000184,4468
E02000185,3306
E02000186,3520
E02000187,3419
E02000188,4117
E02000189,3002
E02000190,4592
E02000191,5252
E02000192,3448
E02000193,4589
E02000194,3586
E02000195,2670
E02000196,2475
E02000197,2842
E02000198,2777
E02000199,2725
E02000200,3085
E02000201,3131
E02000202,2681
E02000203,2662
E02000204,2786
E02000206,3372
E02000207,3140
E02000208,3276
E02000209,2375
E02000210,2765
E02000211,2066
E02000212,2420
E02000213,3517
E02000214,1745
E02000215,4158
E02000216,1831
E02000217,3537
E02000218,1778
E02000219,1778
E02000220,4329
E02000221,3126
E02000222,2816
E02000223,2594
E02000224,2606
E02000225,2171
E02000226,1769
E02000227,3323
E02000228,1576
E02000229,1927
E02000230,2909
E02000231,1777
E02000232,1414
E02000233,1613
E02000234,2176
E02000235,1623
E02000236,1766
E02000237,1606
E02000238,2676
E02000239,2507
E02000240,2865
E02000241,1980
E02000242,1835
E02000243,2595
E02000244,2031
E02000245,2445
E02000246,2485
E02000247,2952
E02000248,2411
E02000249,2216
E02000250,1704
E02000251,2119
E02000252,4100
E02000253,2849
E02000254,2370
E02000255,2991
E02000256,3376
E02000257,5440
E02000258,2461
E02000259,1901
E02000260,2289
E02000261,4241
E02000262,3566
E02000263,2972
E02000264,3161
E02000265,4296
E02000266,3914
E02000267,2493
E02000268,3575
E02000269,2865
E02000270,2953
E02000271,2254
E02000272,2099
E02000274,3247
E02000275,1878
E02000276,2693
E02000277,2011
E02000278,2546
E02000279,3349
E02000280,2352
E02000281,2685
E02000282,2618
E02000283,2403
E02000284,2491
E02000285,1542
E02000286,2587
E02000287,1880
E02000288,3081
E02000289,1512
E02000290,2099
E02000291,2912
E02000292,2773
E02000293,1494
E02000294,2429
E02000295,2407
E02000296,3381
E02000297,2498
E02000298,2064
E02000299,2752
E02000300,2399
E02000301,3019
E02000302,2375
E02000303,2514
E02000304,2163
E02000305,3002
E02000306,2820
E02000307,2693
E02000308,2745
E02000309,3072
E02000311,3061
E02000312,4116
E02000313,1910
E02000314,3889
E02000315,2662
E02000316,4569
E02000317,2748
E02000318,3012
E02000319,3654
E02000320,1989
E02000321,2459
E02000323,3572
E02000324,2420
E02000326,2507
E02000327,2205
E02000328,2392
E02000329,1887
E02000331,2772
E02000332,2162
E02000333,2327
E02000334,1983
E02000335,1712
E02000337,2502
E02000339,1640
E02000340,1961
E02000341,2365
E02000342,2883
E02000343,1958
E02000344,1729
E02000345,2095
E02000346,2484
E02000347,2490
E02000348,2285
E02000350,4361
E02000351,4876
E02000352,2877
E02000353,3831
E02000354,4349
E02000355,3976
E02000356,3638
E02000357,2065
E02000358,5686
E02000359,2990
E02000360,4982
E02000361,4168
E02000362,2879
E02000363,4176
E02000364,4593
E02000365,7096
E02000366,3768
E02000367,5225
E02000368,4427
E02000369,5718
E02000370,4101
E02000371,7756
E02000372,3824
E02000373,2435
E02000374,2995
E02000375,3457
E02000376,3760
E02000377,3968
E02000378,3463
E02000379,3019
E02000380,2563
E02000381,3484
E02000382,2601
E02000383,5097
E02000384,3571
E02000385,3784
E02000386,3851
E02000387,3315
E02000388,4360
E02000389,3671
E02000390,3164
E02000391,3097
E02000392,4516
E02000393,2805
E02000394,3624
E02000395,2455
E02000396,2554
E02000397,3210
E02000398,2400
E02000400,2855
E02000401,2112
E02000402,2210
E02000403,3076
E02000404,2799
E02000405,2129
E02000406,2913
E02000407,2718
E02000408,2805
E02000409,2407
E02000410,2520
E02000411,2933
E02000412,3116
E02000413,2305
E02000414,2864
E02000415,2964
E02000416,3315
E02000417,2648
E02000418,1799
E02000419,3877
E02000420,2926
E02000421,2971
E02000422,3062
E02000423,3346
E02000424,3309
E02000425,1765
E02000426,2324
E02000427,3538
E02000428,2861
E02000429,2667
E02000430,3732
E02000431,3176
E02000432,3361
E02000433,1608
E02000434,2055
E02000435,1802
E02000436,1086
E02000437,2105
E02000438,2007
E02000439,2230
E02000440,2188
E02000441,1654
E02000442,2105
E02000443,2691
E02000444,1997
E02000445,2959
E02000447,1785
E02000448,1426
E02000449,2093
E02000451,1583
E02000452,2871
E02000453,2221
E02000454,1351
E02000455,2662
E02000456,2091
E02000457,1377
E02000459,2324
E02000460,1793
E02000461,2222
E02000462,1726
E02000463,2145
E02000464,1795
E02000465,2427
E02000466,2316
E02000467,3087
E02000468,2007
E02000469,1777
E02000470,2048
E02000471,1592
E02000472,2229
E02000473,2481
E02000474,2324
E02000475,2577
E02000476,3042
E02000477,2281
E02000478,1282
E02000479,2702
E02000480,2879
E02000481,1734
E02000482,1300
E02000483,2125
E02000484,2185
E02000485,2146
E02000486,1970
E02000487,1492
E02000488,1768
E02000489,2114
E02000490,1947
E02000491,2529
E02000492,1537
E02000493,1856
E02000494,1600
E02000495,2546
E02000496,1999
E02000497,2203
E02000498,1522
E02000499,1800
E02000500,1868
E02000501,2098
E02000502,2021
E02000503,2510
E02000504,1539
E02000506,1711
E02000507,2089
E02000508,4677
E02000509,5242
E02000510,2520
E02000511,2537
E02000512,2581
E02000513,2475
E02000514,2447
E02000515,3851
E02000516,2244
E02000517,2349
E02000518,2636
E02000519,2460
E02000520,3157
E02000521,2722
E02000522,2479
E02000523,2456
E02000524,2067
E02000525,2309
E02000526,3010
E02000528,3958
E02000529,2260
E02000530,1766
E02000531,4420
E02000532,2955
E02000533,2887
E02000534,2357
E02000535,2399
E02000536,2570
E02000537,2525
E02000538,2299
E02000539,3524
E02000540,2959
E02000541,2471
E02000542,2691
E02000543,3380
E02000544,2291
E02000545,2724
E02000546,2656
E02000547,2602
E02000548,2719
E02000549,3081
E02000550,2978
E02000551,2549
E02000552,2491
E02000553,1886
E02000554,4244
E02000555,4290
E02000556,5152
E02000557,3917
E02000558,3554
E02000559,4565
E02000560,4159
E02000561,3780
E02000562,3641
E02000563,4253
E02000564,5962
E02000565,4006
E02000566,3925
E02000567,5260
E02000568,5099
E02000569,4707
E02000570,4258
E02000571,3914
E02000572,4114
E02000573,4431
E02000574,4777
E02000575,7027
E02000576,4834
E02000577,2841
E02000578,2292
E02000579,3671
E02000580,4316
E02000581,2741
E02000582,3514
E02000583,2780
E02000584,2940
E02000585,2970
E02000586,2913
E02000587,2537
E02000588,3065
E02000589,4222
E02000590,2779
E02000591,3269
E02000592,2791
E02000593,3554
E02000594,2432
E02000595,2681
E02000596,3544
E02000597,2846
E02000598,1696
E02000599,2076
E02000600,2915
E02000601,3190
E02000602,4014
E02000603,2433
E02000604,2240
E02000605,1984
E02000606,5025
E02000607,2732
E02000608,3660
E02000609,1782
E02000610,3324
E02000611,1551
E02000612,1875
E02000613,2400
E02000614,2352
E02000615,1908
E02000616,1630
E02000617,2338
E02000619,3703
E02000620,4672
E02000621,5652
E02000622,4465
E02000623,3468
E02000624,4082
E02000625,3870
E02000626,3511
E02000627,5267
E02000628,4367
E02000629,5182
E02000630,3967
E02000631,3987
E02000632,6465
E02000633,4561
E02000634,3837
E02000635,4800
E02000636,3645
E02000637,4907
E02000638,4975
E02000639,3489
E02000640,4321
E02000641,3721
E02000642,3939
E02000643,3823
E02000644,3627
E02000645,3523
E02000646,4301
E02000647,3260
E02000648,2865
E02000649,5156
E02000650,3048
E02000651,3485
E02000652,2478
E02000653,3735
E02000654,3166
E02000655,3705
E02000657,4975
E02000658,3922
E02000659,3073
E02000660,4165
E02000661,2495
E02000662,3671
E02000663,3480
E02000664,4379
E02000665,3136
E02000666,2941
E02000667,2403
E02000668,2262
E02000669,3220
E02000670,2439
E02000671,3383
E02000672,3368
E02000673,3108
E02000674,2653
E02000675,2647
E02000676,2918
E02000677,2382
E02000678,1951
E02000679,3024
E02000680,2597
E02000681,2696
E02000682,2468
E02000683,2191
E02000685,2818
E02000686,2278
E02000687,3119
E02000689,2674
E02000690,1120
E02000691,2896
E02000692,2668
E02000693,4188
E02000694,3338
E02000695,2710
E02000696,3096
E02000697,3501
E02000698,1839
E02000699,2625
E02000700,3184
E02000701,2561
E02000702,2408
E02000703,2102
E02000704,2843
E02000705,2456
E02000706,2655
E02000707,2246
E02000708,2232
E02000709,1974
E02000710,2455
E02000711,2466
E02000712,2537
E02000713,1915
E02000714,2855
E02000715,2206
E02000716,2389
E02000717,2527
E02000718,1923
E02000719,3430
E02000720,2569
E02000721,3382
E02000722,3711
E02000723,3361
E02000724,2932
E02000725,4305
E02000726,4219
E02000727,2656
E02000728,2305
E02000729,2453
E02000730,2940
E02000731,3362
E02000732,2345
E02000733,3594
E02000734,2756
E02000735,2551
E02000736,2451
E02000737,2662
E02000738,2497
E02000739,2413
E02000740,2613
E02000741,2620
E02000742,2303
E02000743,2766
E02000744,2649
E02000745,2767
E02000746,3032
E02000747,4612
E02000748,2127
E02000749,2830
E02000750,4399
E02000751,2523
E02000752,1985
E02000753,1670
E02000754,1849
E02000755,1553
E02000756,3352
E02000757,3607
E02000758,1422
E02000759,3365
E02000760,1740
E02000762,1497
E02000763,1753
E02000764,4076
E02000765,1527
E02000767,1854
E02000768,1525
E02000769,3899
E02000770,1859
E02000772,2081
E02000773,2299
E02000774,2050
E02000776,1700
E02000777,1631
E02000779,2204
E02000780,3830
E02000781,3324
E02000782,2631
E02000783,1920
E02000784,2834
E02000785,2785
E02000786,3486
E02000787,3433
E02000788,2412
E02000789,2006
E02000790,1729
E02000791,2227
E02000792,2070
E02000793,2277
E02000794,1951
E02000795,1475
E02000796,2884
E02000797,2637
E02000798,3026
E02000799,2240
E02000800,1434
E02000801,1920
E02000802,1822
E02000803,2688
E02000804,2119
E02000805,3076
E02000806,2539
E02000807,4116
E02000808,5251
E02000809,6782
E02000810,4452
E02000812,5490
E02000813,3920
E02000814,4582
E02000815,3839
E02000816,4010
E02000817,2657
E02000818,3640
E02000819,3580
E02000820,4298
E02000821,3183
E02000822,3222
E02000823,3564
E02000824,3445
E02000825,3556
E02000826,3793
E02000827,4327
E02000828,3274
E02000829,4554
E02000830,4190
E02000831,4163
E02000832,3856
E02000833,3300
E02000834,4267
E02000835,2735
E02000836,3201
E02000837,2486
E02000838,3581
E02000839,2676
E02000840,2520
E02000841,2716
E02000842,1906
E02000843,2394
E02000844,2239
E02000845,2329
E02000846,1747
E02000847,2190
E02000848,1901
E02000849,2143
E02000850,2709
E02000851,2703
E02000852,2120
E02000853,2186
E02000854,1999
E02000855,1829
E02000856,2383
E02000857,2707
E02000858,2405
E02000859,2195
E02000860,2679
E02000861,1674
E02000863,1461
E02000864,3569
E02000865,3185
E02000866,4615
E02000867,5117
E02000868,3574
E02000869,2733
E02000870,3032
E02000871,3067
E02000872,3870
E02000873,4550
E02000874,3026
E02000875,3657
E02000876,3490
E02000877,3850
E02000878,5594
E02000879,3197
E02000880,2495
E02000881,2316
E02000882,2915
E02000883,2711
E02000884,4948
E02000885,2537
E02000886,3138
E02000887,3166
E02000888,3345
E02000889,3040
E02000890,2845
E02000891,5984
E02000893,2653
E02000894,4676
E02000895,2175
E02000896,2527
E02000897,2396
E02000898,2252
E02000899,2193
E02000900,2419
E02000901,2737
E02000902,2447
E02000903,2903
E02000904,2610
E02000905,3134
E02000906,3203
E02000907,3499
E02000908,4223
E02000909,2888
E02000910,3814
E02000911,3961
E02000912,2899
E02000913,3021
E02000914,3379
E02000915,3642
E02000916,3059
E02000917,3248
E02000918,3735
E02000919,3713
E02000920,3770
E02000921,4161
E02000922,4114
E02000923,3399
E02000924,5720
E02000925,3521
E02000926,4588
E02000927,3532
E02000928,3333
E02000929,3325
E02000930,5682
E02000931,3921
E02000932,5321
E02000933,3499
E02000934,5111
E02000935,3198
E02000936,4243
E02000937,2821
E02000938,3760
E02000939,2389
E02000940,3619
E02000941,3860
E02000942,3426
E02000943,4149
E02000944,2978
E02000945,3585
E02000946,4309
E02000947,3458
E02000948,5523
E02000949,4271
E02000950,3034
E02000951,3421
E02000952,2948
E02000953,3394
E02000954,2670
E02000955,2708
E02000956,3804
E02000957,4608
E02000958,2898
E02000959,2741
E02000960,2058
E02000961,3134
E02000962,3153
E02000963,4019
E02000964,5708
E02000965,4053
E02000966,3742
E02000967,3488
E02000968,5164
E02000969,3458
E02000970,3927
E02000971,4204
E02000972,4865
E02000973,4817
E02000974,3688
E02000975,4578
E02000976,5171
E02000977,4082
E02000978,3891
E02000979,3429
E02000980,3655
E02000981,4533
E02000982,3280
E02000983,3597
E02000984,1566
E02000985,1494
E02000986,2092
E02000987,2009
E02000988,2426
E02000989,1566
E02000990,1869
E02000991,2009
E02000992,1346
E02000993,2420
E02000994,2225
E02000995,1967
E02000996,2420
E02000997,1296
E02000998,2830
E02000999,2805
E02001000,3068
E02001001,2172
E02001002,2606
E02001003,1323
E02001004,2152
E02001005,2281
E02001006,1972
E02001007,2463
E02001008,1999
E02001009,1776
E02001010,1767
E02001011,2304
E02001012,2046
E02001013,1289
E02001014,2285
E02001015,2444
E02001016,2602
E02001017,3171
E02001018,1747
E02001019,2389
E02001020,1026
E02001021,1638
E02001022,2035
E02001023,1396
E02001024,1849
E02001025,2370
E02001026,2811
E02001027,2261
E02001028,1219
E02001029,1988
E02001030,1284
E02001031,1698
E02001032,1972
E02001033,1666
E02001034,2638
E02001035,1560
E02001036,2048
E02001037,1463
E02001038,1739
E02001039,2471
E02001040,1611
E02001041,2505
E02001042,1777
E02001043,1569
E02001044,1712
E02001045,2741
E02001046,3397
E02001047,3448
E02001048,2495
E02001049,3163
E02001050,2685
E02001051,2644
E02001052,3549
E02001053,3784
E02001055,3136
E02001056,2815
E02001057,4348
E02001059,3783
E02001061,3035
E02001062,4990
E02001063,7411
E02001064,2936
E02001065,2990
E02001066,7207
E02001067,3178
E02001068,3272
E02001069,5618
E02001070,7498
E02001071,3903
E02001072,3889
E02001073,4387
E02001074,4571
E02001075,3223
E02001076,8921
E02001077,3296
E02001078,3212
E02001079,4332
E02001080,6734
E02001081,2495
E02001082,4103
E02001083,4859
E02001084,4415
E02001085,2945
E02001086,2779
E02001087,3907
E02001088,3079
E02001089,2675
E02001090,2335
E02001091,2594
E02001092,2932
E02001093,3392
E02001094,3160
E02001095,2896
E02001096,2546
E02001097,2876
E02001098,1438
E02001099,1666
E02001100,1374
E02001101,1319
E02001102,1656
E02001103,1098
E02001104,1841
E02001105,1472
E02001106,1632
E02001107,1450
E02001108,1676
E02001109,2254
E02001110,1354
E02001111,2052
E02001112,1395
E02001113,2077
E02001114,2045
E02001115,1671
E02001116,1498
E02001117,1264
E02001118,1453
E02001119,2148
E02001121,1560
E02001123,1886
E02001124,1674
E02001125,2346
E02001126,2334
E02001127,2179
E02001128,2246
E02001129,1923
E02001130,1454
E02001131,1327
E02001132,1819
E02001133,1451
E02001134,1384
E02001135,2022
E02001136,2483
E02001137,1404
E02001138,1890
E02001139,2205
E02001140,2198
E02001141,3858
E02001142,1156
E02001143,2945
E02001144,1751
E02001145,1797
E02001146,2240
E02001147,2701
E02001148,2755
E02001149,3206
E02001150,2510
E02001151,2590
E02001152,2889
E02001153,3389
E02001154,3341
E02001155,2363
E02001156,2318
E02001157,2346
E02001158,1911
E02001159,1876
E02001160,1833
E02001161,1777
E02001162,1695
E02001163,2619
E02001164,2828
E02001165,1812
E02001166,1411
E02001167,2177
E02001168,2860
E02001169,2253
E02001170,2137
E02001171,1425
E02001172,4185
E02001173,4228
E02001174,1999
E02001175,2256
E02001176,3492
E02001177,4295
E02001178,7250
E02001179,2440
E02001180,3040
E02001181,1996
E02001182,2103
E02001183,2143
E02001184,5896
E02001185,2670
E02001186,2884
E02001187,2178
E02001188,2710
E02001189,2435
E02001190,2436
E02001191,1380
E02001192,2067
E02001193,2184
E02001194,1496
E02001195,2044
E02001196,1675
E02001197,1599
E02001198,2009
E02001199,2206
E02001200,2444
E02001201,1615
E02001202,2365
E02001203,1051
E02001204,2664
E02001205,2570
E02001206,1522
E02001207,1583
E02001208,2227
E02001209,2468
E02001210,1855
E02001211,1244
E02001212,2029
E02001213,2355
E02001214,1594
E02001215,1238
E02001216,1541
E02001217,2006
E02001218,1098
E02001219,1042
E02001220,1220
E02001221,1158
E02001222,1389
E02001223,1309
E02001224,951
E02001225,1508
E02001226,1669
E02001227,934
E02001228,874
E02001229,2716
E02001230,1383
E02001231,1824
E02001232,2294
E02001233,2047
E02001234,2330
E02001235,1982
E02001236,1921
E02001237,2053
E02001238,2257
E02001239,2806
E02001240,1793
E02001241,3072
E02001242,1452
E02001243,2098
E02001244,1253
E02001245,2424
E02001246,2005
E02001247,2177
E02001248,3303
E02001249,1987
E02001250,1550
E02001251,1533
E02001252,1833
E02001253,1516
E02001254,1688
E02001255,1897
E02001256,2907
E02001257,2578
E02001258,1658
E02001259,3658
E02001260,1793
E02001261,2981
E02001262,2575
E02001263,1739
E02001264,2305
E02001265,2097
E02001266,2041
E02001267,2220
E02001268,1566
E02001269,2721
E02001270,2139
E02001271,1746
E02001272,1860
E02001273,2803
E02001274,1598
E02001275,2464
E02001276,2163
E02001277,2899
E02001278,1899
E02001279,1626
E02001280,2201
E02001281,1536
E02001282,2680
E02001283,2128
E02001284,1604
E02001285,1606
E02001286,1354
E02001287,1239
E02001288,1622
E02001289,2182
E02001290,1385
E02001291,2003
E02001292,2088
E02001293,1518
E02001294,2468
E02001295,2430
E02001296,3111
E02001297,1933
E02001298,2586
E02001299,2375
E02001300,2358
E02001301,2659
E02001302,2047
E02001303,2705
E02001304,2624
E02001305,1911
E02001306,1774
E02001307,2322
E02001308,1565
E02001309,2127
E02001310,2671
E02001311,2402
E02001312,2389
E02001313,2288
E02001314,2055
E02001315,1956
E02001316,2214
E02001317,2248
E02001318,1906
E02001319,2164
E02001320,2150
E02001321,1851
E02001322,1826
E02001323,1916
E02001324,2331
E02001325,1587
E02001326,1719
E02001327,2661
E02001328,3066
E02001329,2906
E02001330,3036
E02001331,3554
E02001332,2367
E02001333,2754
E02001334,2249
E02001335,2129
E02001336,2575
E02001337,1906
E02001338,1960
E02001339,2068
E02001340,2466
E02001341,2408
E02001342,1784
E02001343,1776
E02001344,1623
E02001345,1523
E02001346,2477
E02001347,2491
E02001348,2498
E02001349,2687
E02001350,2697
E02001351,3437
E02001352,3200
E02001353,2158
E02001354,2728
E02001355,2523
E02001356,1962
E02001357,2524
E02001358,2839
E02001359,1777
E02001360,3570
E02001361,2747
E02001362,2380
E02001363,2873
E02001364,2182
E02001365,3635
E02001366,3457
E02001367,2635
E02001368,2470
E02001369,3578
E02001370,2528
E02001371,2512
E02001372,2169
E02001373,3354
E02001374,3978
E02001375,2476
E02001376,3504
E02001377,7921
E02001378,2906
E02001380,1992
E02001381,4365
E02001382,1853
E02001383,4791
E02001384,7450
E02001385,3059
E02001386,2686
E02001387,2427
E02001388,5411
E02001389,3766
E02001390,3568
E02001391,1996
E02001392,1367
E02001393,2087
E02001394,5844
E02001395,1860
E02001396,3769
E02001397,2398
E02001398,3669
E02001399,1994
E02001400,2216
E02001401,2218
E02001402,2649
E02001403,2440
E02001404,2752
E02001405,3595
E02001406,1532
E02001407,1214
E02001408,1357
E02001409,2595
E02001410,1584
E02001411,1436
E02001412,2267
E02001413,2462
E02001414,923
E02001415,1856
E02001416,1886
E02001417,2660
E02001418,1649
E02001419,2363
E02001420,2828
E02001421,3160
E02001422,2014
E02001423,1380
