GeographyCode,KS103EW0002
K04000001,15730275
E92000001,14889928
W92000004,840347
E12000001,734910
E12000002,2040367
E12000003,1453124
E12000004,1192443
E12000005,1517613
E12000006,1475171
E12000007,2888944
E12000008,2230242
E12000009,1357114
E06000001,25531
E06000002,43550
E06000003,35417
E06000004,51272
E06000005,27083
E06000006,35659
E06000007,51409
E06000008,37958
E06000009,41198
E06000010,87661
E06000011,72618
E06000012,42808
E06000013,39393
E06000014,64211
E06000015,72222
E06000016,108120
E06000017,8193
E06000018,128363
E06000019,43018
E06000020,43520
E06000021,72307
E06000022,54597
E06000023,164225
E06000024,44511
E06000025,64712
E06000026,78544
E06000027,31809
E06000028,63364
E06000029,36544
E06000030,54391
E06000031,48546
E06000032,57911
E06000033,48392
E06000034,41862
E06000035,72899
E06000036,28944
E06000037,35148
E06000038,54161
E06000039,37159
E06000040,34897
E06000041,33750
E06000042,64603
E06000043,114826
E06000044,72820
E06000045,88491
E06000046,32673
E06000047,137980
E06000048,72424
E06000049,86618
E06000050,83980
E06000051,73492
E06000052,125475
E06000053,503
E06000054,104226
E06000055,40205
E06000056,59646
E07000004,40627
E07000005,18298
E07000006,14647
E07000007,42605
E07000008,55781
E07000009,18280
E07000010,22215
E07000011,38898
E07000012,33110
E07000026,22417
E07000027,17832
E07000028,28667
E07000029,17415
E07000030,11818
E07000031,22934
E07000032,29081
E07000033,18584
E07000034,27007
E07000035,15043
E07000036,28725
E07000037,22958
E07000038,22133
E07000039,21754
E07000040,26570
E07000041,43302
E07000042,16694
E07000043,21478
E07000044,17310
E07000045,27114
E07000046,13719
E07000047,11316
E07000048,9675
E07000049,15452
E07000050,14672
E07000051,9490
E07000052,20689
E07000053,16175
E07000061,27558
E07000062,26836
E07000063,23126
E07000064,18891
E07000065,30511
E07000066,44686
E07000067,34070
E07000068,17803
E07000069,20020
E07000070,42623
E07000071,48955
E07000072,31817
E07000073,22147
E07000074,12758
E07000075,17740
E07000076,30239
E07000077,16891
E07000078,37243
E07000079,17735
E07000080,18603
E07000081,33212
E07000082,25388
E07000083,17551
E07000084,39633
E07000085,23937
E07000086,29294
E07000087,23488
E07000088,19899
E07000089,18599
E07000090,28527
E07000091,36154
E07000092,24732
E07000093,24323
E07000094,28541
E07000095,24575
E07000096,36455
E07000097,33551
E07000098,25380
E07000099,30893
E07000100,33513
E07000101,22647
E07000102,21008
E07000103,26911
E07000104,34962
E07000105,27080
E07000106,48662
E07000107,26741
E07000108,26924
E07000109,26202
E07000110,37567
E07000111,25276
E07000112,27300
E07000113,33978
E07000114,34051
E07000115,26932
E07000116,28621
E07000117,23371
E07000118,26439
E07000119,16849
E07000120,21126
E07000121,43010
E07000122,22180
E07000123,46440
E07000124,12063
E07000125,17787
E07000126,26336
E07000127,28307
E07000128,23674
E07000129,21833
E07000130,49529
E07000131,17791
E07000132,24022
E07000133,11265
E07000134,21443
E07000135,14441
E07000136,15558
E07000137,28024
E07000138,34402
E07000139,21061
E07000140,18650
E07000141,28454
E07000142,18435
E07000143,28562
E07000144,25397
E07000145,24665
E07000146,32618
E07000147,21052
E07000148,51978
E07000149,25795
E07000150,16962
E07000151,16724
E07000152,18945
E07000153,22316
E07000154,62824
E07000155,16610
E07000156,18384
E07000163,11607
E07000164,18418
E07000165,34903
E07000166,12370
E07000167,10977
E07000168,26127
E07000169,18088
E07000170,30087
E07000171,26407
E07000172,28296
E07000173,28838
E07000174,26680
E07000175,26274
E07000176,26005
E07000177,34437
E07000178,68206
E07000179,30269
E07000180,27656
E07000181,23718
E07000187,25996
E07000188,25793
E07000189,35185
E07000190,26356
E07000191,7495
E07000192,24686
E07000193,28004
E07000194,22447
E07000195,34397
E07000196,24365
E07000197,31752
E07000198,21596
E07000199,19495
E07000200,18344
E07000201,14617
E07000202,39753
E07000203,19662
E07000204,26614
E07000205,25187
E07000206,26437
E07000207,28321
E07000208,18711
E07000209,39639
E07000210,18557
E07000211,34056
E07000212,23657
E07000213,24562
E07000214,18791
E07000215,19265
E07000216,26219
E07000217,23699
E07000218,14872
E07000219,31079
E07000220,24174
E07000221,25603
E07000222,40959
E07000223,14967
E07000224,33818
E07000225,25801
E07000226,29363
E07000227,27914
E07000228,31622
E07000229,27063
E07000234,20703
E07000235,16272
E07000236,21709
E07000237,29364
E07000238,24412
E07000239,23588
E08000001,73807
E08000002,48695
E08000003,222585
E08000004,57756
E08000005,58665
E08000006,81837
E08000007,73942
E08000008,62337
E08000009,60002
E08000010,84705
E08000011,47288
E08000012,193012
E08000013,47055
E08000014,74992
E08000015,88202
E08000016,59269
E08000017,78812
E08000018,63537
E08000019,186159
E08000020,58237
E08000021,108033
E08000022,53347
E08000023,41841
E08000024,80195
E08000025,344818
E08000026,101910
E08000027,79065
E08000028,85269
E08000029,50382
E08000030,70124
E08000031,74231
E08000032,132036
E08000033,52575
E08000034,109072
E08000035,250309
E08000036,82174
E09000001,3434
E09000002,53344
E09000003,105064
E09000004,62410
E09000005,104685
E09000006,83650
E09000007,101579
E09000008,112821
E09000009,109575
E09000010,92558
E09000011,86373
E09000012,112265
E09000013,85433
E09000014,101526
E09000015,61610
E09000016,63549
E09000017,79006
E09000018,77973
E09000019,103869
E09000020,64698
E09000021,51125
E09000022,144966
E09000023,108807
E09000024,64689
